original_filename,clean_filename,soil_type
peat_soil_118_0_6663.jpeg,peat_soil_00000.jpg,peat soil
peat_soil_90_0_3671.jpeg,peat_soil_00001.jpg,peat soil
peat_soil_148_0_7622 - Copy (2).jpeg,peat_soil_00002.jpg,peat soil
peat_soil_121_0_705 - Copy.jpeg,peat_soil_00003.jpg,peat soil
peat_soil_93_0_9765.jpeg,peat_soil_00004.jpg,peat soil
peat_soil_129_0_9071 - Copy.jpeg,peat_soil_00005.jpg,peat soil
peat_soil_40_0_978.jpeg,peat_soil_00006.jpg,peat soil
peat_soil_141_0_3811.jpeg,peat_soil_00007.jpg,peat soil
peat_soil_140_0_1480 - Copy - Copy.jpeg,peat_soil_00008.jpg,peat soil
peat_soil_89_0_5383.jpeg,peat_soil_00009.jpg,peat soil
peat_soil_139_0_1054 - Copy (2).jpeg,peat_soil_00010.jpg,peat soil
peat_soil_35_0_5843.jpeg,peat_soil_00011.jpg,peat soil
peat_soil_151_0_7036.jpeg,peat_soil_00012.jpg,peat soil
peat_soil_98_0_1844.jpeg,peat_soil_00013.jpg,peat soil
peat_soil_58_0_8877.jpeg,peat_soil_00014.jpg,peat soil
peat_soil_136_0_9714 - Copy.jpeg,peat_soil_00015.jpg,peat soil
peat_soil_26_0_4723.jpeg,peat_soil_00016.jpg,peat soil
peat_soil_158_0_3962.jpeg,peat_soil_00017.jpg,peat soil
peat_soil_78_0_1436.jpeg,peat_soil_00018.jpg,peat soil
peat_soil_139_0_3326 - Copy (2).jpeg,peat_soil_00019.jpg,peat soil
peat_soil_59_0_8768.jpeg,peat_soil_00020.jpg,peat soil
peat_soil_121_0_3149.jpeg,peat_soil_00021.jpg,peat soil
peat_soil_134_0_4357.jpeg,peat_soil_00022.jpg,peat soil
peat_soil_147_0_1311 - Copy.jpeg,peat_soil_00023.jpg,peat soil
peat_soil_120_0_9037 - Copy.jpeg,peat_soil_00024.jpg,peat soil
peat_soil_9_0_8589.jpeg,peat_soil_00025.jpg,peat soil
peat_soil_87_0_5301.jpeg,peat_soil_00026.jpg,peat soil
peat_soil_126_0_6997 - Copy.jpeg,peat_soil_00027.jpg,peat soil
peat_soil_142_0_860 - Copy (2).jpeg,peat_soil_00028.jpg,peat soil
peat_soil_149_0_6722 - Copy.jpeg,peat_soil_00029.jpg,peat soil
peat_soil_44_0_4438.jpeg,peat_soil_00030.jpg,peat soil
